01.07.1968 00:00:00.00       86400.0    2.777777910E-07
#  Startdatum              [d] -> [s]  [mm/h] -> [m/s]
    0.00000000 	 0.000 
    9.91666670 	 0.000 
    9.95833330 	 0.600 
   10.00000000 	 0.200 
   10.04166670 	 0.000 
   10.41666670 	 0.000 
   10.45833330 	 0.100 
   10.50000000 	 0.000 
   10.66666670 	 0.000 
   10.70833330 	 1.300 
   10.75000000 	 0.200 
   10.79166670 	 0.000 
   10.87500000 	 0.000 
   10.91666670 	 0.500 
   10.95833330 	 1.100 
   11.00000000 	 0.000 
   13.58333330 	 0.000 
   13.62500000 	 1.500 
   13.66666670 	 0.000 
   13.75000000 	 0.000 
   13.79166670 	 0.200 
   13.83333330 	 0.000 
   14.00000000 	 0.000 
   14.04166670 	 5.400 
   14.08333330 	 0.000 
   14.20833330 	 0.000 
   14.25000000 	 0.100 
   14.29166670 	 0.000 
   14.33333330 	 0.000 
   14.37500000 	 0.100 
   14.41666670 	 0.800 
   14.45833330 	 0.400 
   14.50000000 	 0.000 
   14.54166670 	 0.000 
   14.58333330 	 0.200 
   14.62500000 	 0.000 
   14.66666670 	 0.000 
   14.70833330 	 2.300 
   14.75000000 	 0.000 
   14.79166670 	 0.300 
   14.83333330 	 0.000 
   14.87500000 	 0.400 
   14.91666670 	 0.000 
   18.25000000 	 0.000 
   18.29166670 	 0.900 
   18.33333330 	 0.000 
   18.37500000 	 1.000 
   18.41666670 	 0.300 
   18.45833330 	 0.000 
   19.29166670 	 0.000 
   19.33333330 	 0.400 
   19.37500000 	 0.500 
   19.41666670 	 0.200 
   19.45833330 	 0.000 
   19.75000000 	 0.000 
   19.79166670 	 2.000 
   19.83333330 	 0.000 
   20.00000000 	 0.000 
   20.04166670 	 0.300 
   20.08333330 	 0.600 
   20.12500000 	 0.600 
   20.16666670 	 0.100 
   20.20833330 	 2.300 
   20.25000000 	 0.100 
   20.29166670 	 0.000 
   20.91666670 	 0.000 
   20.95833330 	 0.100 
   21.00000000 	 0.000 
   21.04166670 	 0.500 
   21.08333330 	 0.200 
   21.12500000 	 0.000 
   22.16666670 	 0.000 
   22.20833330 	 0.300 
   22.25000000 	 0.200 
   22.29166670 	 0.700 
   22.33333330 	 0.000 
   22.62500000 	 0.000 
   22.66666670 	 1.000 
   22.70833330 	 0.200 
   22.75000000 	 0.600 
   22.79166670 	 0.000 
   22.95833330 	 0.000 
   23.00000000 	 0.100 
   23.04166670 	 0.000 
   25.04166670 	 0.000 
   25.08333330 	 0.100 
   25.12500000 	 0.200 
   25.16666670 	 0.800 
   25.20833330 	 0.400 
   25.25000000 	 0.000 
   25.29166670 	 0.100 
   25.33333330 	 0.000 
   32.54166670 	 0.000 
   32.58333330 	 7.400 
   32.62500000 	 0.400 
   32.66666670 	 0.000 
   36.62500000 	 0.000 
   36.66666670 	 0.500 
   36.70833330 	 0.000 
   36.83333330 	 0.000 
   36.87500000 	 0.200 
   36.91666670 	 0.800 
   36.95833330 	 2.400 
   37.00000000 	 0.000 
   37.04166670 	 0.400 
   37.08333330 	 0.300 
   37.12500000 	 0.000 
   39.50000000 	 0.000 
   39.54166670 	 1.300 
   39.58333330 	 0.000 
   40.04166670 	 0.000 
   40.08333330 	 0.300 
   40.12500000 	 0.000 
   43.87500000 	 0.000 
   43.91666670 	 0.100 
   43.95833330 	 0.400 
   44.00000000 	 0.100 
   44.04166670 	 0.000 
   44.33333330 	 0.000 
   44.37500000 	 2.900 
   44.41666670 	 0.000 
   44.54166670 	 0.000 
   44.58333330 	 1.500 
   44.62500000 	 0.000 
   44.83333330 	 0.000 
   44.87500000 	 0.900 
   44.91666670 	 0.600 
   44.95833330 	 0.000 
   45.62500000 	 0.000 
   45.66666670 	 0.200 
   45.70833330 	 0.000 
   46.16666670 	 0.000 
   46.20833330 	 0.300 
   46.25000000 	 0.000 
   46.33333330 	 0.000 
   46.37500000 	 0.600 
   46.41666670 	 0.000 
   46.79166670 	 0.000 
   46.83333330 	 0.300 
   46.87500000 	 0.000 
   47.45833330 	 0.000 
   47.50000000 	 0.400 
   47.54166670 	 0.000 
   47.58333330 	 0.400 
   47.62500000 	 0.500 
   47.66666670 	 0.000 
   47.70833330 	 0.000 
   47.75000000 	 1.700 
   47.79166670 	 0.000 
   48.12500000 	 0.000 
   48.16666670 	 0.300 
   48.20833330 	 0.000 
   49.00000000 	 0.000 
   49.04166670 	 0.200 
   49.08333330 	 0.000 
   50.66666670 	 0.000 
   50.70833330 	 0.300 
   50.75000000 	 0.000 
   54.70833330 	 0.000 
   54.75000000 	 0.100 
   54.79166670 	 0.000 
   55.54166670 	 0.000 
   55.58333330 	 9.800 
   55.62500000 	 0.000 
   55.95833330 	 0.000 
   56.00000000 	 3.600 
   56.04166670 	 0.000 
   56.70833330 	 0.000 
   56.75000000 	 2.300 
   56.79166670 	 0.000 
   57.20833330 	 0.000 
   57.25000000 	 0.100 
   57.29166670 	 0.100 
   57.33333330 	 0.200 
   57.37500000 	 0.400 
   57.41666670 	 0.200 
   57.45833330 	 2.900 
   57.50000000 	 1.900 
   57.54166670 	 0.400 
   57.58333330 	 0.200 
   57.62500000 	 0.400 
   57.66666670 	 0.300 
   57.70833330 	 0.000 
   57.83333330 	 0.000 
   57.87500000 	 1.900 
   57.91666670 	 0.000 
   59.25000000 	 0.000 
   59.29166670 	 0.400 
   59.33333330 	 0.500 
   59.37500000 	 0.000 
   59.91666670 	 0.000 
   59.95833330 	 0.200 
   60.00000000 	 0.000 
   60.75000000 	 0.000 
   60.79166670 	 1.000 
   60.83333330 	 3.900 
   60.87500000 	 1.000 
   60.91666670 	 0.000 
   61.04166670 	 0.000 
   61.08333330 	 0.400 
   61.12500000 	 0.000 
